07:33:47.363967 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.365184 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.367112 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.368572 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.369221 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.370300 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.370847 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.371373 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.372197 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.372705 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374105 | user: nolua_2    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374612 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_1    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_3    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.374863 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:47.375869 | user: nolua_4    | success: false | req made in window: 15    | time before next req: 0  
07:33:48.375913 | user: nolua_1    | success: true  | req made in window: 10    | time before next req: 0  
07:33:48.375913 | user: nolua_2    | success: true  | req made in window: 11    | time before next req: 0  
07:33:48.392281 | user: nolua_4    | success: true  | req made in window: 11    | time before next req: 0  
07:33:48.416052 | user: nolua_4    | success: true  | req made in window: 12    | time before next req: 0  
07:33:48.416052 | user: nolua_3    | success: true  | req made in window: 11    | time before next req: 0  
07:33:48.416052 | user: nolua_5    | success: true  | req made in window: 10    | time before next req: 0  
07:33:48.434121 | user: nolua_3    | success: true  | req made in window: 12    | time before next req: 0  
07:33:48.434121 | user: nolua_5    | success: true  | req made in window: 11    | time before next req: 0  
07:33:48.447992 | user: nolua_1    | success: true  | req made in window: 11    | time before next req: 0  
07:33:48.465085 | user: nolua_4    | success: true  | req made in window: 13    | time before next req: 0  
07:33:48.465085 | user: nolua_5    | success: true  | req made in window: 12    | time before next req: 0  
07:33:48.485742 | user: nolua_3    | success: true  | req made in window: 13    | time before next req: 0  
07:33:48.485893 | user: nolua_3    | success: true  | req made in window: 14    | time before next req: 0  
07:33:48.496278 | user: nolua_2    | success: true  | req made in window: 12    | time before next req: 0  
07:33:48.514199 | user: nolua_5    | success: true  | req made in window: 13    | time before next req: 0  
07:33:48.516829 | user: nolua_4    | success: true  | req made in window: 14    | time before next req: 0  
07:33:48.516829 | user: nolua_2    | success: true  | req made in window: 13    | time before next req: 0  
