07:33:37.036438 | Lua script loaded successfully with SHA: edd62c3065bc6d8e69c6a661910be99a4d0f8173
07:33:37.036953 | Redis client created
07:48:39.746041 | Sending requests to /lua
07:48:47.153506 | user: lua_2      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.168633 | user: lua_4      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.184537 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.199775 | user: lua_1      | success: false | req made in window: 15    | time before next req: 2  
07:48:48.224091 | user: lua_1      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.224963 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.225803 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.225803 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.225803 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.227856 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.228476 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.229689 | user: lua_1      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.230259 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.230259 | user: lua_1      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.231436 | user: lua_3      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.231436 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.233740 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.235344 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.237253 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.237253 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.237515 | user: lua_3      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.238296 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.240056 | user: lua_2      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.240561 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.240561 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.244619 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.244619 | user: lua_5      | success: false | req made in window: 16    | time before next req: 1  
07:48:48.245124 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:48.245124 | user: lua_4      | success: false | req made in window: 15    | time before next req: 1  
07:48:49.247755 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.247755 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.255160 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.255160 | user: lua_2      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.255160 | user: lua_2      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.257202 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.257202 | user: lua_2      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.259845 | user: lua_2      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.263102 | user: lua_2      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.263799 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.264303 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.265153 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.266396 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_5      | success: false | req made in window: 16    | time before next req: 0  
07:48:49.270736 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_5      | success: false | req made in window: 16    | time before next req: 0  
07:48:49.270736 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:49.270736 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.264989 | user: lua_3      | success: true  | req made in window: 13    | time before next req: 0  
07:48:50.267378 | user: lua_1      | success: true  | req made in window: 12    | time before next req: 0  
07:48:50.267378 | user: lua_1      | success: true  | req made in window: 11    | time before next req: 0  
07:48:50.270081 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:50.270586 | user: lua_3      | success: true  | req made in window: 14    | time before next req: 0  
07:48:50.272234 | user: lua_5      | success: true  | req made in window: 14    | time before next req: 0  
07:48:50.272234 | user: lua_2      | success: true  | req made in window: 11    | time before next req: 0  
07:48:50.279669 | user: lua_5      | success: true  | req made in window: 15    | time before next req: 0  
07:48:50.279669 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:50.279669 | user: lua_1      | success: true  | req made in window: 12    | time before next req: 0  
07:48:50.281945 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.281945 | user: lua_4      | success: true  | req made in window: 14    | time before next req: 0  
07:48:50.281945 | user: lua_4      | success: true  | req made in window: 15    | time before next req: 0  
07:48:50.281945 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.284991 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.284991 | user: lua_1      | success: true  | req made in window: 13    | time before next req: 0  
07:48:50.284991 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.287765 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.288290 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.288290 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:50.303320 | user: lua_1      | success: true  | req made in window: 14    | time before next req: 0  
07:48:50.303853 | user: lua_2      | success: true  | req made in window: 13    | time before next req: 0  
07:48:50.304582 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.304582 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:50.305632 | user: lua_1      | success: true  | req made in window: 15    | time before next req: 0  
07:48:51.320025 | user: lua_4      | success: true  | req made in window: 11    | time before next req: 0  
07:48:51.320025 | user: lua_1      | success: true  | req made in window: 11    | time before next req: 0  
07:48:51.322905 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:51.322905 | user: lua_1      | success: true  | req made in window: 12    | time before next req: 0  
07:48:51.325179 | user: lua_1      | success: true  | req made in window: 13    | time before next req: 0  
07:48:51.325179 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.325179 | user: lua_5      | success: true  | req made in window: 14    | time before next req: 0  
07:48:51.329265 | user: lua_1      | success: true  | req made in window: 14    | time before next req: 0  
07:48:51.330726 | user: lua_4      | success: true  | req made in window: 12    | time before next req: 0  
07:48:51.331272 | user: lua_4      | success: true  | req made in window: 13    | time before next req: 0  
07:48:51.332361 | user: lua_1      | success: true  | req made in window: 15    | time before next req: 0  
07:48:51.333579 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.334606 | user: lua_5      | success: true  | req made in window: 15    | time before next req: 0  
07:48:51.335696 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.336729 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.337353 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.338374 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.338374 | user: lua_4      | success: true  | req made in window: 14    | time before next req: 0  
07:48:51.339294 | user: lua_4      | success: true  | req made in window: 15    | time before next req: 0  
07:48:51.339798 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.339798 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:51.341384 | user: lua_2      | success: true  | req made in window: 10    | time before next req: 0  
07:48:51.341962 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.341962 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.342919 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.343424 | user: lua_2      | success: true  | req made in window: 11    | time before next req: 0  
07:48:51.343948 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.345058 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.346153 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.347203 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.347708 | user: lua_5      | success: false | req made in window: 15    | time before next req: 0  
07:48:51.347708 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:52.363665 | user: lua_5      | success: true  | req made in window: 11    | time before next req: 0  
07:48:52.387241 | user: lua_1      | success: true  | req made in window: 13    | time before next req: 0  
07:48:52.388712 | user: lua_4      | success: true  | req made in window: 13    | time before next req: 0  
07:48:52.394640 | user: lua_1      | success: true  | req made in window: 14    | time before next req: 0  
07:48:52.396245 | user: lua_2      | success: true  | req made in window: 8     | time before next req: 0  
07:48:52.410317 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:52.410317 | user: lua_1      | success: true  | req made in window: 15    | time before next req: 0  
07:48:52.427167 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:52.427674 | user: lua_4      | success: true  | req made in window: 14    | time before next req: 0  
07:48:52.428276 | user: lua_2      | success: true  | req made in window: 10    | time before next req: 0  
07:48:52.428276 | user: lua_3      | success: true  | req made in window: 14    | time before next req: 0  
07:48:52.444119 | user: lua_2      | success: true  | req made in window: 11    | time before next req: 0  
07:48:52.444119 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:52.444119 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:52.448654 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:52.457704 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:52.460005 | user: lua_4      | success: true  | req made in window: 15    | time before next req: 0  
07:48:52.460575 | user: lua_5      | success: true  | req made in window: 12    | time before next req: 0  
07:48:52.460575 | user: lua_5      | success: true  | req made in window: 13    | time before next req: 0  
07:48:52.461237 | user: lua_1      | success: false | req made in window: 15    | time before next req: 0  
07:48:52.461237 | user: lua_2      | success: true  | req made in window: 13    | time before next req: 0  
07:48:52.463433 | user: lua_4      | success: false | req made in window: 15    | time before next req: 0  
07:48:52.463433 | user: lua_2      | success: true  | req made in window: 14    | time before next req: 0  
07:48:53.468594 | user: lua_5      | success: true  | req made in window: 8     | time before next req: 0  
07:48:53.468594 | user: lua_4      | success: true  | req made in window: 11    | time before next req: 0  
07:48:53.468594 | user: lua_3      | success: true  | req made in window: 14    | time before next req: 0  
07:48:53.468594 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:53.468594 | user: lua_1      | success: true  | req made in window: 14    | time before next req: 0  
07:48:53.476298 | user: lua_4      | success: true  | req made in window: 12    | time before next req: 0  
07:48:53.479893 | user: lua_2      | success: true  | req made in window: 15    | time before next req: 0  
07:48:53.479893 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:53.497006 | user: lua_5      | success: true  | req made in window: 9     | time before next req: 0  
07:48:53.506215 | user: lua_1      | success: true  | req made in window: 15    | time before next req: 0  
07:48:53.506215 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:53.507237 | user: lua_1      | success: false | req made in window: 15    | time before next req: 6  
07:48:53.508581 | user: lua_5      | success: true  | req made in window: 10    | time before next req: 0  
07:48:53.508581 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:53.508581 | user: lua_5      | success: true  | req made in window: 11    | time before next req: 0  
07:48:53.529573 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:53.529573 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
07:48:53.529573 | user: lua_4      | success: true  | req made in window: 13    | time before next req: 0  
07:48:53.529573 | user: lua_3      | success: false | req made in window: 15    | time before next req: 0  
